function,scale,data,algorithm,iteration,dist_y_mean,dist_y_std,dist_x_mean,dist_x_std
Sphere,raw,clean,random,28,1.298610232698729,1.0968595641964478,1.0423634140704927,0.46053093892379854
Sphere,raw,clean,random,29,1.214475728332912,0.9870792396124562,1.0134529128491154,0.43288442079908057
Sphere,raw,clean,random,30,1.2034051690451235,0.9873049502159942,1.008340961432671,0.43203434416972003
Sphere,raw,clean,random,31,1.1578140139075839,0.9760935842109844,0.9830695864893262,0.4374793732592305
Sphere,raw,clean,random,32,1.150158433858113,0.950896500760733,0.9812285906752171,0.43283817611162767
Sphere,raw,clean,random,33,1.150158433858113,0.950896500760733,0.9812285906752171,0.43283817611162767
Sphere,raw,clean,random,34,1.150158433858113,0.950896500760733,0.9812285906752171,0.43283817611162767
Sphere,raw,clean,random,35,1.0823709107574957,0.8668334635591056,0.9529186383588136,0.4175128494140991
Sphere,raw,clean,random,36,1.0823709107574957,0.8668334635591056,0.9529186383588136,0.4175128494140991
Sphere,raw,clean,random,37,1.0334526637339736,0.8322268084300491,0.9331275520854294,0.40339265644409994
Sphere,raw,clean,random,38,0.957253253845752,0.7911489097345139,0.8988063954361329,0.3865233723448789
Sphere,raw,clean,random,39,0.9551579127005568,0.7930028742414649,0.8966697193058724,0.3887689894789515
Sphere,raw,clean,random,40,0.9105908748120648,0.7904677393418698,0.8729234833248982,0.38548082581626664
Sphere,raw,clean,random,41,0.9105908748120648,0.7904677393418698,0.8729234833248982,0.38548082581626664
Sphere,raw,clean,random,42,0.9068763326131541,0.7903634868853457,0.8709961272532432,0.38502217978060216
Sphere,raw,clean,random,43,0.8968523810679017,0.7850984610564535,0.8619132875969718,0.3923746497057136
Sphere,raw,clean,random,44,0.8699664337310612,0.7461089099596415,0.8522501187624266,0.3789936263322788
Sphere,raw,clean,random,45,0.8454336271653302,0.7402876832517595,0.8384867495064263,0.3773242611699888
Sphere,raw,clean,random,46,0.8406697901693058,0.7440301971948139,0.8336800850465751,0.38163766319120185
Sphere,raw,clean,random,47,0.8406697901693058,0.7440301971948139,0.8336800850465751,0.38163766319120185
Sphere,raw,clean,random,48,0.8406697901693058,0.7440301971948139,0.8336800850465751,0.38163766319120185
Sphere,raw,clean,random,49,0.8406697901693058,0.7440301971948139,0.8336800850465751,0.38163766319120185
Sphere,raw,clean,random,50,0.8312664525876989,0.748558545845843,0.826636485495208,0.3846278375726721
Sphere,raw,clean,random,51,0.7854316930934558,0.6576914094031218,0.806096606650167,0.3682932986636356
Sphere,raw,clean,random,52,0.7632056990895978,0.641933758864438,0.795854273757303,0.36030774905881996
Sphere,raw,clean,random,53,0.7632056990895978,0.641933758864438,0.795854273757303,0.36030774905881996
Sphere,raw,clean,random,54,0.7570843572533927,0.644761515572464,0.7912913795064282,0.3618595169015271
Sphere,raw,clean,random,55,0.7355306853526212,0.6337459510846842,0.7805170243842464,0.3554206803197907
Sphere,raw,clean,random,56,0.7225242562883804,0.6330133074231693,0.7728973263838843,0.35377108298591003
Sphere,raw,clean,random,57,0.7225242562883804,0.6330133074231693,0.7728973263838843,0.35377108298591003
Sphere,raw,clean,random,58,0.7096434946255953,0.6381222612270677,0.7601027237911591,0.3631629715580269
Sphere,raw,clean,random,59,0.6959751444499664,0.5984188679658279,0.755769134006254,0.3532536773105177
Sphere,raw,clean,random,60,0.6953096672845966,0.5989126465405741,0.755105197825873,0.35373126452286585
Sphere,raw,clean,random,61,0.689256284287727,0.6040781250770567,0.7469374485825288,0.3624096193435673
Sphere,raw,clean,random,62,0.689256284287727,0.6040781250770567,0.7469374485825288,0.3624096193435673
Sphere,raw,clean,random,63,0.6771057797771298,0.5953388721199538,0.7407187345838733,0.3583874105121374
