function,scale,data,algorithm,seed,final_dist_y,final_dist_x,steps
Sphere,raw,clean,tpe_gp,30,1.6992700690755535e-05,0.004122220359315539,40.0
Sphere,raw,clean,tpe_gp,31,5.08645960614559e-05,0.007131941955838949,31.0
Sphere,raw,clean,tpe_gp,32,5.154251041321007e-05,0.00717931127708014,19.0
Sphere,raw,clean,tpe_gp,33,0.00021009632643826295,0.014494699943022724,54.0
Sphere,raw,clean,tpe_gp,34,4.0035541741718715e-06,0.0020008883462532016,37.0
Sphere,raw,clean,tpe_gp,35,0.0009948058249842602,0.031540542560080674,70.0
Sphere,raw,clean,tpe_gp,36,6.269585121716336e-05,0.00791807118035468,29.0
Sphere,raw,clean,tpe_gp,37,3.714888063918443e-05,0.006094988157427743,25.0
Sphere,raw,clean,tpe_gp,38,0.0001006502711422225,0.010032460871701544,69.0
Sphere,raw,clean,tpe_gp,39,0.00015455843621686445,0.012432153321804893,39.0
Sphere,raw,clean,tpe_gp,40,9.61632143496314e-05,0.009806284431405781,29.0
Sphere,raw,clean,tpe_gp,41,0.000750899416139967,0.027402543972046958,66.0
Sphere,raw,clean,tpe_gp,42,1.984004008003399e-05,0.004454215989378377,29.0
Sphere,raw,clean,tpe_gp,43,0.014766728787550969,0.12151842982671793,
Sphere,raw,clean,tpe_gp,44,3.799167415877152e-05,0.00616373865107627,31.0
Sphere,raw,clean,tpe_gp,45,0.00023939930462481257,0.015472533878612532,64.0
Sphere,raw,clean,tpe_gp,46,0.00015902000899239378,0.012610313596116227,17.0
Sphere,raw,clean,tpe_gp,47,3.4350043223181e-06,0.0018533764653513058,41.0
Sphere,raw,clean,tpe_gp,48,1.6218894981638665e-05,0.004027268923431692,40.0
Sphere,raw,clean,tpe_gp,49,8.511055381030491e-05,0.00922553813120432,46.0
Sphere,raw,clean,tpe_gradw_gp,0,5.9374598441954247e-05,0.0077054914471404255,36.0
Sphere,raw,clean,tpe_gradw_gp,1,4.530939284513582e-05,0.006731225211292207,24.0
Sphere,raw,clean,tpe_gradw_gp,2,4.4160951077443076e-05,0.0066453706501175,36.0
Sphere,raw,clean,tpe_gradw_gp,3,0.00014649550608192147,0.012103532793441818,32.0
Sphere,raw,clean,tpe_gradw_gp,4,9.764535930934905e-06,0.003124825744091165,36.0
Sphere,raw,clean,tpe_gradw_gp,5,4.769561636890064e-05,0.006906201298029231,27.0
Sphere,raw,clean,tpe_gradw_gp,6,2.2151106100822706e-05,0.004706496159652391,35.0
Sphere,raw,clean,tpe_gradw_gp,7,4.548088441518034e-05,0.006743951691343906,23.0
