function,scale,data,algorithm,threshold_y,n_seeds,success_rate_%,steps_mean,steps_std,final_dist_y_mean,final_dist_y_std,final_dist_y_median,final_dist_x_mean,final_dist_x_std,final_dist_x_median
Rosenbrock,norm,clean,tpe_gradw,0.05,50,6.0,28.333333333333332,11.32352516764202,1.6099466857153175,1.7442065003085516,0.9673318904358511,1.4176312459833875,0.654938847370738,1.4547720246991407
Rosenbrock,norm,clean,tpe_gp,0.05,50,22.0,39.18181818181818,15.266232385224242,1.4121285293585073,1.7784514786293566,0.45180264366083517,1.2144690837676306,0.7686952597029704,1.258926072907098
Rosenbrock,norm,clean,tpe_gradw_gp,0.05,50,6.0,23.0,7.788880963698615,1.079054336554641,1.2677527253589946,0.5792322545319998,1.2214590677807409,0.5691337358279811,1.2923413888861268
Rosenbrock,norm,clean,optuna,0.05,50,28.0,49.642857142857146,17.702328914004276,0.429264604904954,0.9123478032866036,0.23380242248459343,0.7598856465951712,0.46762914120242327,0.755240731716396
Rosenbrock,norm,noisy_y,random,0.05,50,10.0,43.6,10.669582934679312,0.8407437194103357,0.8468886820124635,0.5391841538320152,0.8428334306489031,0.5600959964280652,0.819333745326341
Rosenbrock,norm,noisy_y,tpe,0.05,50,12.0,38.5,13.853399101544236,1.470867866549354,1.7981229342732166,0.6099187248303153,1.2965664429795039,0.6832456367521271,1.2908164544414518
Rosenbrock,norm,noisy_y,tpe_gradw,0.05,50,6.0,35.333333333333336,16.659998666133067,1.6884438239706625,1.7696420267348583,0.9987930748494316,1.43749085370591,0.6613696602432866,1.468319603925488
Rosenbrock,norm,noisy_y,tpe_gp,0.05,50,22.0,41.0,18.62061418770264,1.411565748608577,1.7708201186996,0.5108689898569504,1.232008747455892,0.7602069748611581,1.275831244452053
Rosenbrock,norm,noisy_y,tpe_gradw_gp,0.05,50,6.0,23.0,7.788880963698615,1.1775597863167557,1.264168312448876,0.6421792376232995,1.2737622232991037,0.5568920068362894,1.3094124078638878
Rosenbrock,norm,noisy_y,optuna,0.05,50,24.0,48.916666666666664,18.8257728187244,0.45254341368420475,0.9117154154032875,0.24764070754153508,0.763797982519849,0.5087149528737258,0.8748540155400873
Rastrigin,raw,clean,random,1.0,50,2.0,13.0,0.0,6.103259270134981,3.105429044317422,5.758550558615716,1.5171580430213039,0.6857660538955143,1.4664354538293485
Rastrigin,raw,clean,tpe,1.0,50,26.0,49.23076923076923,17.34781673762235,2.5202820705333484,2.159512591705487,1.9941617788806933,1.332412035158513,0.756859960265062,1.3940089834806582
Rastrigin,raw,clean,tpe_gradw,1.0,50,6.0,48.0,2.8284271247461903,3.475260170951214,2.1005854299601205,3.2091455034006593,1.0858444379045655,0.5778803178277001,1.0405257098751917
