function,algorithm,data,raw_final_dist_y,norm_final_dist_y,delta_norm_minus_raw,identical
Rastrigin,random,clean,5.459565676995542,5.459565676995542,0.0,True
Rastrigin,random,noisy_y,5.465372308843582,5.465372308843582,0.0,True
Rastrigin,tpe,clean,2.775240780608079,2.775240780608079,0.0,True
Rastrigin,tpe,noisy_y,3.4525819597844234,3.4525819597844234,0.0,True
Rastrigin,tpe_gp,clean,3.5992373363164716,2.4359386247043466,-1.163298711612125,False
Rastrigin,tpe_gp,noisy_y,3.4559164282747212,3.1675422599194474,-0.28837416835527385,False
Rastrigin,tpe_gp_refine,clean,1.2257523182915342,1.042701002521711,-0.18305131576982325,False
Rastrigin,tpe_gp_refine,noisy_y,1.520629208269345,1.248343684554239,-0.27228552371510584,False
Rastrigin,tpe_gp_w,clean,2.1266429529094775,2.674082575434462,0.5474396225249847,False
Rastrigin,tpe_gp_w,noisy_y,2.200383994412726,2.9510265888494933,0.7506425944367674,False
Rastrigin,tpe_refine,clean,1.1359422649248934,1.1359422649248934,0.0,True
Rastrigin,tpe_refine,noisy_y,1.1892754498663702,1.1892754498663702,0.0,True
Rastrigin,tpe_w_sign,clean,3.915322013736018,3.915322013736018,0.0,True
Rastrigin,tpe_w_sign,noisy_y,3.7691299788757435,3.7691299788757435,0.0,True
Rastrigin,tpe_w_sign_inv,clean,2.5528184352414565,2.5528184352414565,0.0,True
Rastrigin,tpe_w_sign_inv,noisy_y,2.70055041825935,2.70055041825935,0.0,True
Rastrigin,tpe_w_smooth,clean,3.4301479896983555,3.4301479896983555,0.0,True
Rastrigin,tpe_w_smooth,noisy_y,3.43533789452351,3.43533789452351,0.0,True
Rastrigin,tpe_w_smooth_inv,clean,2.7212570576876316,2.7212570576876316,0.0,True
Rastrigin,tpe_w_smooth_inv,noisy_y,2.914139546217707,2.914139546217707,0.0,True
Rosenbrock,optuna,clean,0.3044636175335981,0.3044636175335981,0.0,True
Rosenbrock,optuna,noisy_y,0.3558029493990125,0.3558029493990125,0.0,True
Rosenbrock,random,clean,0.6698747523891597,0.6698747523891597,0.0,True
Rosenbrock,random,noisy_y,0.6714857965370316,0.6714857965370316,0.0,True
Rosenbrock,tpe,clean,1.5334927336041315,1.5334927336041315,0.0,True
Rosenbrock,tpe,noisy_y,1.593265384672433,1.593265384672433,0.0,True
